epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1782.4,1.5609,1.23654,1.21634,0.49354,0.29222,0.29583,0.15256,1.87193,1.56277,1.49379,0.00406,0.00406,0.00406
62,1811.21,1.55643,1.23026,1.20762,0.47545,0.27671,0.27516,0.13709,1.92244,1.61031,1.53927,0.003961,0.003961,0.003961
63,1840,1.53983,1.20802,1.20198,0.50042,0.29317,0.30488,0.15906,1.85603,1.53392,1.47878,0.003862,0.003862,0.003862
64,1869.37,1.53875,1.20721,1.20247,0.50408,0.28385,0.28502,0.14407,1.91334,1.5824,1.52723,0.003763,0.003763,0.003763
65,1898.83,1.52589,1.18888,1.20092,0.47291,0.29002,0.30836,0.16405,1.87966,1.51911,1.49568,0.003664,0.003664,0.003664
66,1927.73,1.53916,1.2073,1.2023,0.44928,0.29489,0.28854,0.14758,1.88115,1.57756,1.49608,0.003565,0.003565,0.003565
67,1956.84,1.51618,1.18925,1.19252,0.60195,0.29786,0.30963,0.16515,1.83112,1.54148,1.47652,0.003466,0.003466,0.003466
68,1986.66,1.51157,1.1931,1.19352,0.5376,0.29449,0.30535,0.16089,1.84537,1.53669,1.48292,0.003367,0.003367,0.003367
69,2016.26,1.50729,1.1873,1.19031,0.4584,0.29664,0.30786,0.16573,1.83058,1.53095,1.46684,0.003268,0.003268,0.003268
70,2046.03,1.5094,1.19361,1.19193,0.45581,0.32391,0.31842,0.17055,1.8207,1.49177,1.46518,0.003169,0.003169,0.003169
71,2076.06,1.49638,1.17356,1.18048,0.44731,0.30318,0.29889,0.15568,1.8306,1.54811,1.4721,0.00307,0.00307,0.00307
72,2106.43,1.48485,1.17973,1.18234,0.4366,0.29741,0.30063,0.16003,1.83397,1.51931,1.47029,0.002971,0.002971,0.002971
73,2137.44,1.4868,1.18212,1.17946,0.50688,0.28943,0.28455,0.14598,1.86934,1.55785,1.50422,0.002872,0.002872,0.002872
74,2167.04,1.48462,1.16529,1.17842,0.4743,0.31405,0.31448,0.17101,1.79643,1.49973,1.45217,0.002773,0.002773,0.002773
75,2197.08,1.48345,1.15026,1.17294,0.47622,0.30554,0.31133,0.16559,1.82312,1.49875,1.46392,0.002674,0.002674,0.002674
